date,temp,humidity,pressure,pm25,pm10
,70,65,726,0,0
,97,22,995,0,0
,97,22,995,0,0
,97,22,995,0,0
,97,22,995,0,0
,97,22,995,0,0
,97,22,995,0,0
,97,22,995,0,0
,97,22,995,0,0
,97,22,995,0,0
,97,22,995,0,0
,97,22,995,0,0
,97,22,995,0,0
,97,22,995,0,0
,97,22,995,0,0
,97,22,995,0,0
2023-07-07 14:20:27,70,65,726,0,0
2023-07-07 14:20:32,95,23,995,0,0
2023-07-07 14:20:37,95,23,995,0,0
2023-07-07 14:20:42,95,22,995,0,0
2023-07-07 14:20:47,96,22,995,0,0
2023-07-07 14:20:52,96,22,995,0,0
2023-07-07 14:20:57,96,22,995,0,0
2023-07-07 14:21:02,96,22,995,0,0
2023-07-07 14:21:07,96,22,995,0,0
2023-07-07 14:21:13,96,22,995,0,0
2023-07-07 14:21:18,96,22,995,0,0
2023-07-07 14:21:23,96,22,995,0,0
2023-07-07 14:21:28,96,22,995,0,0
2023-07-07 14:21:33,96,22,995,0,0
2023-07-07 14:21:38,96,22,995,0,0
2023-07-07 14:21:43,96,22,995,0,0
2023-07-07 14:21:48,96,22,995,0,0
2023-07-07 14:21:50,96,22,995,0,0
2023-07-07 14:26:39,70,65,726,0,0
2023-07-07 14:26:45,98,21,995,0,0
2023-07-07 14:26:50,98,21,995,0,0
2023-07-07 14:26:53,98,21,995,0,0
2023-07-07 14:27:42,70,65,726,1,1
2023-07-07 14:27:47,98,21,995,4,4
2023-07-07 14:27:53,98,21,995,5,5
2023-07-07 14:27:58,98,21,995,4,4
2023-07-07 14:28:03,98,21,995,4,4
2023-07-07 14:28:08,98,21,995,3,3
2023-07-07 14:28:13,98,21,995,4,4
2023-07-07 14:28:18,98,21,995,4,4
2023-07-07 14:28:23,98,21,995,4,4
2023-07-07 14:28:28,98,21,995,4,4
2023-07-07 14:28:33,98,21,995,4,5
2023-07-07 14:28:38,98,21,995,4,5
2023-07-07 14:28:43,98,21,995,4,5
2023-07-07 14:28:49,98,21,995,4,5
2023-07-07 14:28:54,98,21,995,4,5
2023-07-07 14:28:59,98,21,995,4,5
2023-07-07 14:29:04,98,21,995,3,5
2023-07-07 14:29:09,98,21,995,4,5
2023-07-07 14:29:14,98,21,995,4,5
2023-07-07 14:29:19,99,21,995,4,5
2023-07-07 14:29:24,98,21,995,4,4
2023-07-07 14:29:29,98,21,995,4,4
2023-07-07 14:29:34,98,21,995,4,4
2023-07-07 14:29:40,99,21,995,3,3
2023-07-07 14:29:45,98,21,995,3,3
2023-07-07 14:29:50,99,21,995,3,3
2023-07-07 14:29:55,99,21,995,3,3
2023-07-07 14:30:00,99,21,995,3,3
2023-07-07 14:30:05,99,21,995,3,3
2023-07-07 14:30:10,99,21,995,4,4
2023-07-07 14:30:15,98,21,995,4,4
2023-07-07 14:30:20,98,21,995,4,4
2023-07-07 14:30:25,98,21,995,4,4
2023-07-07 14:30:31,98,21,995,4,4
2023-07-07 14:30:36,98,21,995,4,4
2023-07-07 14:30:41,98,21,995,4,4
2023-07-07 14:30:46,99,21,995,4,4
2023-07-07 14:30:51,99,21,995,4,4
2023-07-07 14:30:56,99,21,995,4,4
2023-07-07 14:31:01,99,21,995,4,4
2023-07-07 14:31:06,99,21,995,4,4
2023-07-07 14:31:11,99,21,995,4,4
2023-07-07 14:31:16,99,21,995,4,4
2023-07-07 14:31:22,99,21,995,4,4
2023-07-07 14:31:27,99,21,995,4,4
2023-07-07 14:31:32,99,21,995,4,4
2023-07-07 14:31:37,99,21,995,4,4
2023-07-07 14:31:42,99,21,995,5,5
2023-07-07 14:31:47,99,21,995,5,5
2023-07-07 14:31:52,99,21,995,5,5
2023-07-07 14:31:57,99,21,995,6,6
2023-07-07 14:32:02,99,21,995,6,6
2023-07-07 14:32:08,99,21,995,6,6
2023-07-07 14:32:13,99,21,995,6,6
